Temperature Sensor-1,Vibration Sensor-1,Vibration Sensor-2,Vibration Sensor-3,health_status
20.797449,2147483647,4758,2147483647,Bad Health
21.683039,7056,4590,2147483647,Bad Health
21.838221,4465,6405,2147483647,Bad Health
21.855524,3699,935,2147483647,Bad Health
21.700251,2269,266,447,Good Health
21.751947,4721,473,2147483647,Bad Health
20.932489,376,2339,3377,Good Health
20.831171,6327,6351,2147483647,Bad Health
21.545588,3588,4567,2147483647,Bad Health
21.408564,544,7940,2147483647,Bad Health
21.459894,3143,5404,2147483647,Bad Health
20.797449,2270,5911,2147483647,Bad Health
20.915613,6273,1375,2147483647,Bad Health
21.562738,106,1498,2147483647,Bad Health
21.959345,3079,2147483647,2147483647,Bad Health
21.700251,1701,7215,2147483647,Bad Health
21.477015,6373,1918,2147483647,Bad Health
21.169886,2906,4015,2147483647,Bad Health
20.949427,2344,2147483647,2147483647,Bad Health
21.614252,3882,6900,2147483647,Bad Health
21.683039,3133,5004,2147483647,Bad Health
21.803705,1943,6253,2147483647,Bad Health
21.220911,2271,7471,2147483647,Bad Health
21.169886,7851,2332,2147483647,Bad Health
21.872797,2153,6710,2147483647,Bad Health
21.683039,2330,3145,2147483647,Bad Health
21.8901,131,1572,2147483647,Bad Health
22.115564,2200,4733,2147483647,Bad Health
21.994013,1239,226,2147483647,Bad Health
21.942011,1239,3887,3211,Good Health
21.942011,1752,8000,2147483647,Bad Health
22.028711,498,1985,5414,Good Health
22.16778,6899,903,2147483647,Bad Health
22.046076,3444,4570,2147483647,Bad Health
22.132959,2133,6960,2147483647,Bad Health
22.254969,7999,6852,2147483647,Bad Health
21.459894,2078,3399,2147483647,Bad Health
22.272425,179,6671,2147483647,Bad Health
21.545588,5716,5038,2147483647,Bad Health
22.46493,2583,5360,5964,Moderate Health
22.272425,4081,7718,3639,Moderate Health
21.614252,6456,609,2147483647,Bad Health
22.377314,6018,876,2147483647,Bad Health
21.838221,2321,7289,2147483647,Bad Health
22.185205,1242,6067,2147483647,Bad Health
21.545588,3566,7414,2147483647,Bad Health
22.028711,1854,5457,3827,Moderate Health
21.924707,826,4343,2147483647,Bad Health
22.115564,113,5947,2147483647,Bad Health
22.16778,139,2397,2147483647,Bad Health
21.924707,7999,1568,2147483647,Bad Health
21.994013,6886,3961,206,Moderate Health
21.855524,5523,4083,2147483647,Bad Health
21.855524,7362,335,2147483647,Bad Health
21.289057,3065,1375,7539,Good Health
21.8901,3957,251,2147483647,Bad Health
21.855524,4013,1901,2147483647,Bad Health
21.220911,605,7607,1071,Moderate Health
21.959345,1708,5340,2147483647,Bad Health
21.425684,6087,5942,2147483647,Bad Health
22.237513,620,5653,2147483647,Bad Health
21.994013,7643,7159,2147483647,Bad Health
22.115564,4457,6241,2147483647,Bad Health
21.8901,108,1640,2147483647,Bad Health
21.872797,128,6092,2147483647,Bad Health
22.028711,7658,7276,2147483647,Bad Health
21.665827,1128,1617,2147483647,Bad Health
22.220057,7731,3889,2147483647,Bad Health
21.323175,2510,2325,4336,Good Health
21.562738,2297,8000,2147483647,Bad Health
21.306116,3652,4710,2147483647,Bad Health
22.06344,127,5576,2147483647,Bad Health
22.185205,8000,7999,2147483647,Bad Health
22.080805,7999,7058,2147483647,Bad Health
22.132959,442,7632,2147483647,Bad Health
21.959345,686,2518,2147483647,Bad Health
21.8901,1328,1138,6839,Good Health
22.535151,3443,7888,2147483647,Bad Health
22.307337,1627,6772,2147483647,Bad Health
22.046076,5232,2750,62,Moderate Health
22.080805,1235,630,3832,Good Health
22.307337,5620,5396,246,Moderate Health
21.8901,2306,5032,2147483647,Bad Health
21.220911,189,2591,2147483647,Bad Health
21.8901,1636,7966,2147483647,Bad Health
22.046076,117,7217,2147483647,Bad Health
22.272425,6716,7152,7780,Moderate Health
22.185205,2714,2761,2147483647,Bad Health
22.359797,6092,3101,2147483647,Bad Health
21.511286,6724,1952,374,Moderate Health
21.959345,122,4866,2147483647,Bad Health
22.220057,1117,3521,2147483647,Bad Health
22.237513,809,4638,2147483647,Bad Health
22.237513,7287,2110,2147483647,Bad Health
22.046076,2386,308,2147483647,Bad Health
22.115564,4765,6812,2147483647,Bad Health
22.237513,7152,5337,2147483647,Bad Health
22.220057,6316,2639,2147483647,Bad Health
21.459894,236,2121,2147483647,Bad Health
22.272425,3324,5707,2147483647,Bad Health
22.254969,448,7850,2147483647,Bad Health
22.377314,1996,7037,2147483647,Bad Health
22.46493,5347,8000,2147483647,Bad Health
22.132959,1298,3458,2147483647,Bad Health
22.570337,2538,3751,1326,Good Health
21.76919,4318,1818,2147483647,Bad Health
22.552729,7130,3314,2147483647,Bad Health
22.447382,4196,5593,2147483647,Bad Health
22.835047,1360,3137,2147483647,Bad Health
22.080805,7085,3451,2431,Moderate Health
22.623133,1926,8000,7200,Moderate Health
22.412348,127,8000,2147483647,Bad Health
22.377314,197,1432,2147483647,Bad Health
22.34231,1699,7592,2147483647,Bad Health
21.855524,3584,2391,8000,Good Health
22.272425,129,821,2147483647,Bad Health
22.46493,5819,6466,2147483647,Bad Health
22.517603,2776,7905,2147483647,Bad Health
21.838221,1118,5145,2147483647,Bad Health
21.786432,1819,4625,2147483647,Bad Health
21.459894,227,198,2147483647,Bad Health
21.8901,1629,1948,2147483647,Bad Health
22.307337,857,754,2147483647,Bad Health
21.76919,4076,1377,2147483647,Bad Health
22.447382,191,4450,2147483647,Bad Health
21.803705,1813,3310,2147483647,Bad Health
22.34231,4156,6719,2147483647,Bad Health
22.307337,2773,5191,2147483647,Bad Health
22.359797,6635,1439,376,Moderate Health
21.8901,1541,5469,2147483647,Bad Health
22.237513,7087,250,2147483647,Bad Health
22.220057,8000,7700,2147483647,Bad Health
21.872797,4016,4621,2147483647,Bad Health
22.605524,4875,6909,2147483647,Bad Health
22.570337,8000,7177,2147483647,Bad Health
22.693628,6719,4457,2147483647,Bad Health
22.429865,2903,2775,2147483647,Bad Health
22.799646,120,4395,7654,Moderate Health
25.645044,2239,1800,2446,Good Health
22.799646,544,6912,2147483647,Bad Health
22.870478,7349,7717,2147483647,Bad Health
22.764277,603,4827,2147483647,Bad Health
20.814295,7398,4251,2147483647,Bad Health
23.030298,375,4685,2147483647,Bad Health
22.959192,196,5264,2147483647,Bad Health
22.16778,240,253,6840,Good Health
23.065912,7133,4317,2147483647,Bad Health
22.959192,4455,6650,2147483647,Bad Health
21.942011,2011,826,2147483647,Bad Health
22.220057,6928,5254,2147483647,Bad Health
22.570337,871,1046,1521,Good Health
22.307337,5326,4883,2147483647,Bad Health
22.377314,3336,4328,2147483647,Bad Health
22.728937,1742,3581,2147483647,Bad Health
22.835047,1195,875,2147483647,Bad Health
24.259668,4063,4711,2147483647,Bad Health
22.34231,2518,7999,3189,Moderate Health
23.065912,657,7652,2147483647,Bad Health
22.852747,5499,1629,2147483647,Bad Health
23.030298,7222,5794,2525,Moderate Health
23.030298,4477,4544,2147483647,Bad Health
22.693628,3857,582,2147483647,Bad Health
22.852747,4769,5576,510,Moderate Health
22.693628,3570,446,2147483647,Bad Health
22.817347,204,7213,2147483647,Bad Health
22.220057,270,7614,2147483647,Bad Health
22.132959,179,7094,2147483647,Bad Health
22.640741,6262,373,2147483647,Bad Health
22.959192,8000,4453,8000,Moderate Health
23.19079,303,1014,2147483647,Bad Health
22.640741,104,2335,2147483647,Bad Health
23.137201,4695,7217,4935,Moderate Health
22.941431,137,4463,2147483647,Bad Health
23.065912,1434,8000,7654,Moderate Health
23.155054,1010,7862,2147483647,Bad Health
23.030298,2381,4457,2147483647,Bad Health
22.237513,7999,5328,2147483647,Bad Health
22.34231,8000,5527,2147483647,Bad Health
23.012506,2707,5439,2147483647,Bad Health
22.994715,767,2245,8000,Good Health
22.359797,962,5826,2147483647,Bad Health
22.570337,4708,5134,2147483647,Bad Health
22.377314,6323,3753,2147483647,Bad Health
22.959192,1559,5768,2147483647,Bad Health
22.640741,4811,6458,2147483647,Bad Health
23.012506,283,8000,2147483647,Bad Health
22.500025,1507,7999,2147483647,Bad Health
22.994715,7589,747,2147483647,Bad Health
22.764277,5604,2525,2147483647,Bad Health
22.764277,4303,6909,3865,Moderate Health
22.905939,2529,6708,7701,Moderate Health
22.852747,1727,5971,2147483647,Bad Health
23.04809,1829,6780,2147483647,Bad Health
22.870478,3024,7684,7940,Moderate Health
23.012506,5086,730,2147483647,Bad Health
22.852747,4640,2410,2147483647,Bad Health
23.387812,4062,4499,2147483647,Bad Health
22.852747,2334,5412,2147483647,Bad Health
20.44491,4139,4412,2147483647,Bad Health
22.570337,4562,7940,2147483647,Bad Health
22.34231,4456,31,2147483647,Bad Health
22.994715,180,7205,2147483647,Bad Health
23.119379,3369,2147483647,2147483647,Bad Health
22.994715,3310,2147483647,2147483647,Bad Health
23.24441,6381,7707,2147483647,Bad Health
23.030298,418,7369,2147483647,Bad Health
35.188591,5158,490,2147483647,Bad Health
22.34231,6042,3513,2147483647,Bad Health
23.226526,5477,2355,2147483647,Bad Health
22.429865,5700,775,3683,Moderate Health
22.941431,3408,4211,7595,Moderate Health
23.208643,6469,1950,2147483647,Bad Health
22.570337,1838,6089,2147483647,Bad Health
23.316065,5212,3690,2147483647,Bad Health
22.605524,4826,7227,2147483647,Bad Health
23.298151,4740,7266,2147483647,Bad Health
23.387812,250,5507,2147483647,Bad Health
23.603937,5151,4321,2147483647,Bad Health
23.387812,6658,5081,2147483647,Bad Health
23.459742,6024,1064,5653,Moderate Health
23.423761,2566,806,2147483647,Bad Health
23.405787,614,1835,2147483647,Bad Health
23.585871,3783,8000,2147483647,Bad Health
23.549799,1916,5578,2147483647,Bad Health
23.423761,5596,6778,2147483647,Bad Health
23.333979,5526,5459,7720,Moderate Health
23.459742,6363,3766,2147483647,Bad Health
23.531763,247,5905,2115,Moderate Health
23.549799,5562,5311,2147483647,Bad Health
22.764277,2190,3088,2147483647,Bad Health
23.603937,3829,7999,2147483647,Bad Health
22.711298,7095,4700,2147483647,Bad Health
23.930384,5089,7743,2147483647,Bad Health
23.423761,2246,1242,309,Good Health
23.495722,498,1374,6571,Good Health
23.208643,4697,2191,5086,Moderate Health
22.799646,5850,2813,2147483647,Bad Health
23.423761,108,4072,2147483647,Bad Health
23.585871,4980,4720,2147483647,Bad Health
23.622004,734,7814,2147483647,Bad Health
23.24441,1685,5024,2147483647,Bad Health
23.730555,871,2485,386,Good Health
23.262323,3755,3628,2147483647,Bad Health
23.839441,4450,2956,2147483647,Bad Health
23.030298,7999,4657,2147483647,Bad Health
23.69433,1145,2795,2147483647,Bad Health
23.821253,4369,2147483647,2147483647,Bad Health
23.603937,7958,4454,2147483647,Bad Health
23.622004,1737,6839,2147483647,Bad Health
23.405787,1528,4015,2147483647,Bad Health
23.912195,3827,504,4779,Good Health
23.730555,2314,7578,2147483647,Bad Health
23.622004,2263,237,4015,Good Health
23.622004,2087,5856,2147483647,Bad Health
23.784967,378,3961,6153,Good Health
23.226526,7156,7673,2147483647,Bad Health
23.065912,113,3347,7780,Good Health
23.298151,2773,1495,1575,Good Health
22.764277,5886,2807,2147483647,Bad Health
23.64007,5392,5776,2147483647,Bad Health
23.065912,2955,7128,7780,Moderate Health
24.222956,4518,5704,424,Moderate Health
23.226526,2214,2980,2147483647,Bad Health
22.92367,5641,937,2147483647,Bad Health
23.513727,6462,6905,2147483647,Bad Health
23.857599,6794,6709,1189,Moderate Health
23.912195,2169,2228,2147483647,Bad Health
23.603937,2628,817,2147483647,Bad Health
22.994715,2440,4959,3950,Moderate Health
23.513727,504,2845,2147483647,Bad Health
23.69433,2952,7911,2147483647,Bad Health
22.711298,2206,5721,2147483647,Bad Health
23.658136,1505,5716,2147483647,Bad Health
23.495722,2190,6513,2147483647,Bad Health
23.69433,2254,1572,2147483647,Bad Health
23.64007,2189,1255,1572,Good Health
23.333979,387,6023,7999,Moderate Health
24.02157,1005,5939,2147483647,Bad Health
23.985071,7721,6347,3515,Moderate Health
23.985071,894,2700,2147483647,Bad Health
23.19079,4858,4960,2147483647,Bad Health
23.784967,298,3644,2147483647,Bad Health
23.226526,4270,7331,73,Moderate Health
23.531763,1450,2576,2147483647,Bad Health
22.959192,2694,4398,2147483647,Bad Health
23.69433,116,2385,2147483647,Bad Health
23.730555,2253,320,2147483647,Bad Health
23.712458,6975,6719,2147483647,Bad Health
23.658136,800,617,590,Good Health
23.985071,2876,5264,2147483647,Bad Health
23.839441,6917,235,2147483647,Bad Health
23.262323,7155,1761,2147483647,Bad Health
23.857599,2206,4882,2147483647,Bad Health
23.24441,3825,7170,2147483647,Bad Health
23.784967,1355,6848,2147483647,Bad Health
23.730555,7029,1978,2147483647,Bad Health
23.04809,2308,543,7942,Good Health
23.04809,7100,7979,5396,Moderate Health
23.065912,137,1758,2147483647,Bad Health
23.930384,2256,1387,2147483647,Bad Health
23.857599,7530,3494,2147483647,Bad Health
23.912195,3011,4704,2147483647,Bad Health
23.730555,96,4179,2147483647,Bad Health
23.784967,2695,4584,2147483647,Bad Health
23.893976,4456,1804,2147483647,Bad Health
23.857599,2325,6850,2147483647,Bad Health
23.262323,7999,7704,2147483647,Bad Health
24.003321,4689,2735,2147483647,Bad Health
24.003321,8000,2843,2147483647,Bad Health
23.423761,957,5243,2147483647,Bad Health
23.459742,2255,4454,4454,Moderate Health
24.03985,6222,1577,2147483647,Bad Health
23.948603,6265,6823,2147483647,Bad Health
